INS CATH BLADDER NONINDWL,7617608,CDM,761,RC,51701,CPT,,,facility,outpatient,,,190.00000,98.42000,United Healthcare,UHC Doctor's Plan,,92.15,,,,,,,63.84,269.20,percent of total billed charges,
INS CATH INTRAPERIT TUN W IMG,3248630,CDM,361,RC,49418,CPT,,,facility,outpatient,,,7758.00000,2777.36000,"Cigna Healthcare of Arizona, Inc.",Commercial,,16820.00,,,,,,,949.44,16820.00,case rate,Multiple procedure logic: 100/50/25
INS CATH INTRAPERIT TUN W IMG,3248630,CDM,361,RC,49418,CPT,,,facility,outpatient,,,7758.00000,2777.36000,Arizona Physicians IPA,Medicaid,,2307.97,,,,,,,949.44,16820.00,case rate,
INS CATH INTRAPERIT TUN W IMG,3248630,CDM,361,RC,49418,CPT,,,facility,outpatient,,,7758.00000,2777.36000,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,,2603.12,,,,,,,949.44,16820.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
INS CATH INTRAPERIT TUN W IMG,3248630,CDM,361,RC,49418,CPT,,,facility,outpatient,,,7758.00000,2777.36000,United Healthcare,UHC Core,,6856.00,,,,,,,949.44,16820.00,case rate,
INS CATH INTRAPERIT TUN W IMG,3248630,CDM,361,RC,49418,CPT,,,facility,outpatient,,,7758.00000,2777.36000,Wellpoint,Medicare Advantage HMO,,3761.34,,,,,,,949.44,16820.00,fee schedule,
INS CATH INTRAPERIT TUN W IMG,3248630,CDM,361,RC,49418,CPT,,,facility,outpatient,,,7758.00000,2777.36000,Wellpoint,Medicare Advantage HMO,,3761.34,,,,,,,949.44,16820.00,fee schedule,
INS CATH INTRAPERIT TUN W IMG,4813408,CDM,361,RC,49418,CPT,,,facility,outpatient,,,7758.00000,2777.36000,Aetna,Joint Venture,,5186.00,,,,,,,949.44,16820.00,case rate,
INS CATH INTRAPERIT TUN W IMG,4813408,CDM,361,RC,49418,CPT,,,facility,outpatient,,,7758.00000,2777.36000,Arizona Medical Network,Commercial,,5430.60,,,,,,,949.44,16820.00,percent of total billed charges,
INS CATH INTRAPERIT TUN W IMG,4813408,CDM,361,RC,49418,CPT,,,facility,outpatient,,,7758.00000,2777.36000,Blue Cross Blue Shield of Arizona,BCBSAZ Workers Comp,,3253.90,,,,,,,949.44,16820.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
INS CATH INTRAPERIT TUN W IMG,4813408,CDM,361,RC,49418,CPT,,,facility,outpatient,,,7758.00000,2777.36000,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,,2440.42,,,,,,,949.44,16820.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
INS CATH INTRAPERIT TUN W IMG,4813408,CDM,361,RC,49418,CPT,,,facility,outpatient,,,7758.00000,2777.36000,Quiktrip Corporation,Commercial,,4189.32,,,,,,,949.44,16820.00,percent of total billed charges,
INS CATH INTRAPERIT TUN W PORT SQ,3248267,CDM,361,RC,49419,CPT,,,facility,inpatient,,,6845.00000,2450.51000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,3080.25,,,,,,,3080.25,5133.75,percent of total billed charges,
INS CATH INTRAPERIT TUN W PORT SQ,3248267,CDM,361,RC,49419,CPT,,,facility,outpatient,,,6845.00000,2450.51000,Health Net,Medicaid,,3458.52,,,,,,,949.44,9506.48,case rate,
INS CATH INTRAPERIT TUN W PORT SQ,4813382,CDM,361,RC,49419,CPT,,,facility,outpatient,,,6845.00000,2450.51000,Aetna,Broad Network,,6483.00,,,,,,,949.44,9506.48,case rate,
INS CATH INTRAPERIT TUN W PORT SQ,4813382,CDM,361,RC,49419,CPT,,,facility,outpatient,,,6845.00000,2450.51000,Provider Network of America,Commercial,,5133.75,,,,,,,949.44,9506.48,percent of total billed charges,
INS CATH INTRAPERIT TUN W PORT SQ,4813382,CDM,361,RC,49419,CPT,,,facility,outpatient,,,6845.00000,2450.51000,UPMC Health Plan,Medicare Advantage,,5761.50,,,,,,,949.44,9506.48,fee schedule,
INS CATH PLEURAL INDWL W CUFF,3229267,CDM,361,RC,32550,CPT,,,facility,outpatient,,,4600.00000,1646.80000,Blue Cross Blue Shield of Arizona,Commercial,,3253.90,,,,,,,949.44,16820.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
INS CATH PLEURAL INDWL W CUFF,3530862,CDM,361,RC,32550,CPT,,,facility,outpatient,,,4600.00000,1646.80000,Blue Cross Blue Shield of Arizona,BCBSAZ Workers Comp,,3253.90,,,,,,,949.44,16820.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
INS CATH PLEURAL INDWL W CUFF,3530862,CDM,361,RC,32550,CPT,,,facility,outpatient,,,4600.00000,1646.80000,Care 1st,Medicare Advantage,,3761.34,,,,,,,949.44,16820.00,fee schedule,
INS CRM SUBQ W PROGRAMMING,4818639,CDM,361,RC,33285,CPT,,,facility,outpatient,,,11155.00000,3993.49000,Wellpoint,Medicare Advantage HMO,,8820.71,,,,,,,2837.28,14854.00,fee schedule,
INS CRM SUBQ W PROGRAMMING,4818639,CDM,361,RC,33285,CPT,,,facility,outpatient,,,11155.00000,3993.49000,Wellpoint,Medicare Advantage HMO,,8820.71,,,,,,,2837.28,14854.00,fee schedule,
INS CRM SUBQ W PROGRAMMING,4818720,CDM,361,RC,33285,CPT,,,facility,outpatient,,,11155.00000,3993.49000,Arizona Medical Network,Commercial,,7808.50,,,,,,,2837.28,14854.00,percent of total billed charges,
INS CRM SUBQ W PROGRAMMING,4818720,CDM,361,RC,33285,CPT,,,facility,outpatient,,,11155.00000,3993.49000,Arizona Priority Care,Alignment Health Plans Medicare Advantage/Eternal Health Plan Medicare/SCAN Health Plan Medicare,,9702.78,,,,,,,2837.28,14854.00,fee schedule,
INS CVC CENTRAL NONTUN 0-4YRS,3220878,CDM,361,RC,36555,CPT,,,facility,outpatient,,,3938.00000,1409.80000,Banner University Health Plan,University Family Plan,,2074.70,,,,,,,949.44,5535.21,case rate,
INS CVC CENTRAL NONTUN 0-4YRS,3220878,CDM,361,RC,36555,CPT,,,facility,outpatient,,,3938.00000,1409.80000,United Healthcare,Medicare Advantage,,3354.67,,,,,,,949.44,5535.21,fee schedule,
INS CVC CENTRAL NONTUN 5+YRS,3220860,CDM,361,RC,36556,CPT,,,facility,outpatient,,,3938.00000,1409.80000,Blue Cross Blue Shield of Arizona,BCBSAZ Workers Comp,,3253.90,,,,,,,949.44,5535.21,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
INS CVC CENTRAL NONTUN 5+YRS,3220860,CDM,361,RC,36556,CPT,,,facility,outpatient,,,3938.00000,1409.80000,Wellpoint,Medicare Advantage HMO,,3354.67,,,,,,,949.44,5535.21,fee schedule,
INS CVC CENTRAL NONTUN 5+YRS,3220860,CDM,361,RC,36556,CPT,,,facility,outpatient,,,3938.00000,1409.80000,Wellpoint,Medicare Advantage HMO,,3354.67,,,,,,,949.44,5535.21,fee schedule,
INS CVC CENTRAL NONTUN 5+YRS,4804621,CDM,361,RC,36556,CPT,,,facility,outpatient,,,3938.00000,1409.80000,Kaiser Foundation Health Plan,Medicare Advantage,,3354.67,,,,,,,949.44,5535.21,fee schedule,
INS CVC CENTRAL NONTUN 5+YRS,4804621,CDM,361,RC,36556,CPT,,,facility,outpatient,,,3938.00000,1409.80000,Kaiser Foundation Health Plan,Medicare Advantage,,3354.67,,,,,,,949.44,5535.21,fee schedule,
INS CVC CENTRAL TUN WO P/P 0-4YRS,3220886,CDM,361,RC,36557,CPT,,,facility,outpatient,,,6845.00000,2450.51000,Banner Health,Medicare Advantage,,5761.50,,,,,,,1271.44,9506.48,fee schedule,
INS CVC CENTRAL TUN WO P/P 0-4YRS,3220886,CDM,361,RC,36557,CPT,,,facility,outpatient,,,6845.00000,2450.51000,Banner Health,Medicare Advantage,,5761.50,,,,,,,1271.44,9506.48,fee schedule,
INS CVC CENTRAL TUN WO P/P 5+YRS,3220894,CDM,361,RC,36558,CPT,,,facility,outpatient,,,4729.00000,1692.98000,Aetna,Medicare Advantage,,3354.67,,,,,,,1271.44,7217.00,fee schedule,
INS CVD CENTRAL TUN W PORT 0-4YRS,3220928,CDM,361,RC,36560,CPT,,,facility,outpatient,,,6904.00000,2471.63000,"Cigna Healthcare of Arizona, Inc.",Commercial,,4464.00,,,,,,,1455.44,7467.00,case rate,Multiple procedure logic: 100/50/25
INS CVD CENTRAL TUN W PORT 0-4YRS,3220928,CDM,361,RC,36560,CPT,,,facility,outpatient,,,6904.00000,2471.63000,"Cigna Healthcare of Arizona, Inc.",LocalFlex,,4018.00,,,,,,,1455.44,7467.00,case rate,Multiple procedure logic: 100/50/25
INS CVD CENTRAL TUN W PORT 0-4YRS,3220928,CDM,361,RC,36560,CPT,,,facility,outpatient,,,6904.00000,2471.63000,TriWest Healthcare Alliance Corp - VA CCN,VA Community Care Network,,3354.67,,,,,,,1455.44,7467.00,fee schedule,Services not payable under Medicare will be paid at the VA Fee Schedule.
INS CVD CENTRAL TUN W PORT 0-4YRS,3220928,CDM,361,RC,36560,CPT,,,facility,outpatient,,,6904.00000,2471.63000,United Healthcare,UHC Doctor's Plan,,6560.00,,,,,,,1455.44,7467.00,case rate,
INS CVD CENTRAL TUN W PORT 5+YRS,3220936,CDM,361,RC,36561,CPT,,,facility,outpatient,,,5707.00000,5014.03000,Banner University Health Plan,University Family Plan,,2074.70,,,,,,,1455.44,7467.00,case rate,
INS CVD CENTRAL TUN W PORT 5+YRS,3220936,CDM,361,RC,36561,CPT,,,facility,outpatient,,,5707.00000,5014.03000,Gold Kidney Health Plan,Medicare Advantage,,3690.14,,,,,,,1455.44,7467.00,fee schedule,
INS CVD CENTRAL TUN W PORT 5+YRS,3220936,CDM,361,RC,36561,CPT,,,facility,outpatient,,,5707.00000,5014.03000,United Healthcare,Medicare Advantage,,3354.67,,,,,,,1455.44,7467.00,fee schedule,
INS DEFIB SUBQ ELCTRD,4800835,CDM,361,RC,33271,CPT,,,facility,outpatient,,,11997.00000,4294.93000,Banner University Health Plan,University Care Advantage,,8820.71,,,,,,,3818.00,21660.00,fee schedule,
INS DEFIB SUBQ ELCTRD,4800835,CDM,361,RC,33271,CPT,,,facility,outpatient,,,11997.00000,4294.93000,Quiktrip Corporation,Commercial,,6478.38,,,,,,,3818.00,21660.00,percent of total billed charges,
INS DEFIB SUBQ ELCTRD,4800900,CDM,361,RC,33271,CPT,,,facility,outpatient,,,11997.00000,4294.93000,Arizona Physicians IPA,Medicaid,,5910.62,,,,,,,3818.00,21660.00,case rate,
INS DEFIB SUBQ ELCTRD,4800900,CDM,361,RC,33271,CPT,,,facility,outpatient,,,11997.00000,4294.93000,Blue Cross Blue Shield of Arizona,Medicare Supplemental Senior Preferred,,3818.00,,,,,,,3818.00,21660.00,fee schedule,"For Outpatient Covered Services in which Medicare has made payment, reimbursement is the remaining balance payable up to the Medicare Allowed Amount. For Outpatient Covered Services in which Medicare has not made payment, reimbursement is the lesser of 100% of Billed Charges or a percentage of the BCBSAZ Outpatient Fee Schedule."
INS DEFIB SUBQ ELCTRD,4800900,CDM,361,RC,33271,CPT,,,facility,outpatient,,,11997.00000,4294.93000,TriWest Healthcare Alliance Corp - VA CCN,Tricare,,,,"Outpatient services are paid at 100% of the TRICARE OPPS methodology. The exact rate is variable based on patient specific maternity diagnoses, multiple procedure pricing logic, etc.",,,,0,3818.00,21660.00,other,"Outpatient services are paid at 100% of the TRICARE OPPS methodology. The exact rate is variable based on patient specific maternity diagnoses, multiple procedure pricing logic, etc.; there were no paid claims found for this combination of service, payer, and plan within the prior 12-15 months of this file's publishing"
INS DEV AFTERLOAD VAG BRACHY,3333234,CDM,361,RC,57156,CPT,,,facility,outpatient,,,733.00000,262.41000,"Cigna Healthcare of Arizona, Inc.",HMO Medicare Advantage Plan,,324.21,,,,,,,204.07,6483.00,fee schedule,
INS DEV AFTERLOAD VAG BRACHY,3333234,CDM,361,RC,57156,CPT,,,facility,outpatient,,,733.00000,262.41000,Aetna,Designated Group,,5511.00,,,,,,,204.07,6483.00,case rate,
INS DEV IAB PERC,4801536,CDM,361,RC,33967,CPT,,,facility,inpatient,,,6183.00000,2213.51000,Plotkin Health,Plotkin Health,,2782.35,,,,,,,2782.35,4637.25,percent of total billed charges,
INS DEV IAB PERC,4801536,CDM,361,RC,33967,CPT,,,facility,outpatient,,,6183.00000,2213.51000,"Health Choice Arizona, Inc.",Medicare Advantage,,1854.90,,,,,,,936.00,13084.95,percent of total billed charges,
INS DILATOR CERVICAL,4002960,CDM,361,RC,59200,CPT,,,facility,outpatient,,,1328.00000,475.42000,Aetna,Medical Rental,,699.86,,,,,,,204.07,5506.00,percent of total billed charges,"Multiple procedure processing -  Primary, Secondary, and Subsequent procedures reimbursed at 100% of contract rate."
INS DILATOR CERVICAL,7201072,CDM,720,RC,59200,CPT,,,facility,outpatient,,,1328.00000,1183.25000,Banner University Health Plan,University Family Plan,,204.07,,,,,,,204.07,1250.23,case rate,
INS DILATOR CERVICAL,7201072,CDM,720,RC,59200,CPT,,,facility,outpatient,,,1328.00000,1183.25000,Blue Cross Blue Shield of Arizona,Medicare Advantage,,324.21,,,,,,,204.07,1250.23,fee schedule,
INS DILATOR CERVICAL,7201072,CDM,720,RC,59200,CPT,,,facility,outpatient,,,1328.00000,1183.25000,Blue Cross Blue Shield of Arizona,Medicare Advantage,,324.21,,,,,,,204.07,1250.23,fee schedule,
INS ELCTRD DEFIB SUBSTRNL,4818977,CDM,480,RC,0572T,CPT,,,facility,outpatient,,,8119.00000,2378.87000,Blue Cross Blue Shield of Arizona,BCBSAZ Workers Comp,,13084.95,,,,,,,1818.66,14554.17,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
INS ELCTRD DEFIB SUBSTRNL,4818977,CDM,480,RC,0572T,CPT,,,facility,outpatient,,,8119.00000,2378.87000,Health Net,Commerical Exchange Product,,13054.65,,,,,,,1818.66,14554.17,fee schedule,
INS ELCTRD DEFIB SUBSTRNL,4818977,CDM,480,RC,0572T,CPT,,,facility,outpatient,,,8119.00000,2378.87000,Health Net,Commerical Exchange Product,,13054.65,,,,,,,1818.66,14554.17,fee schedule,
INS ELCTRD DEFIB SUBSTRNL,4818977,CDM,480,RC,0572T,CPT,,,facility,outpatient,,,8119.00000,2378.87000,Wellpoint,Medicare Advantage HMO,,8820.71,,,,,,,1818.66,14554.17,fee schedule,
INS ELCTRD DEFIB SUBSTRNL,4818977,CDM,480,RC,0572T,CPT,,,facility,outpatient,,,8119.00000,2378.87000,Wellpoint,Medicare Advantage HMO,,8820.71,,,,,,,1818.66,14554.17,fee schedule,
INS ELCTRD DEFIB SUBSTRNL,4819058,CDM,480,RC,0572T,CPT,,,facility,outpatient,,,8119.00000,2378.87000,Carelon,Medicare Advantage,,9261.75,,,,,,,1818.66,14554.17,fee schedule,
INS ELCTRD LV PM/ICD ADD ON,4806360,CDM,361,RC,33225,CPT,,,facility,outpatient,,,15574.00000,5575.49000,Blue Cross Blue Shield of Arizona,BXBSAZ Alliance CHS,,4083.99,,,,,,,1418.64,51815.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
INS ELCTRD LV PM/ICD ADD ON,4806360,CDM,361,RC,33225,CPT,,,facility,outpatient,,,15574.00000,5575.49000,Blue Cross Blue Shield of Arizona,Commercial,,4861.93,,,,,,,1418.64,51815.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
INS ELCTRD LV PM/ICD ADD ON,4806360,CDM,361,RC,33225,CPT,,,facility,outpatient,,,15574.00000,5575.49000,United Healthcare,UHC Doctor's Plan,,47100.00,,,,,,,1418.64,51815.00,case rate,
INS ELCTRD LV PREVIOUS PM/ICD,4806352,CDM,361,RC,33224,CPT,,,facility,outpatient,,,15545.00000,5565.11000,Banner University Health Plan,AZ Medicaid - AHCCCS,,7540.11,,,,,,,2837.28,51815.00,case rate,
INS ELCTRD LV PREVIOUS PM/ICD,4806352,CDM,361,RC,33224,CPT,,,facility,outpatient,,,15545.00000,5565.11000,Gold Kidney Health Plan,Medicare Advantage,,12269.58,,,,,,,2837.28,51815.00,fee schedule,
INS ELCTRD LV PREVIOUS PM/ICD,4806352,CDM,361,RC,33224,CPT,,,facility,outpatient,,,15545.00000,5565.11000,Health Net,Commerical Exchange Product,,16508.16,,,,,,,2837.28,51815.00,fee schedule,
INS ELCTRD LV PREVIOUS PM/ICD,4806352,CDM,361,RC,33224,CPT,,,facility,outpatient,,,15545.00000,5565.11000,Health Net,Commerical Exchange Product,,16508.16,,,,,,,2837.28,51815.00,fee schedule,
INS ELCTRD PM/ICD TRANSVENOUS DUAL,4801460,CDM,361,RC,33217,CPT,,,facility,outpatient,,,9198.00000,3292.88000,Aetna,Banner Employee Plans,,10026.00,,,,,,,2837.28,14854.00,case rate,"Multi proc logic: first procedure reimbursed at 100% of contract rate, all other procedures reimbursed at $0."
INS ELCTRD PM/ICD TRANSVENOUS DUAL,4801460,CDM,361,RC,33217,CPT,,,facility,outpatient,,,9198.00000,3292.88000,Carelon,Medicare Advantage,,9261.75,,,,,,,2837.28,14854.00,fee schedule,
INS ELCTRD PM/ICD TRANSVENOUS DUAL,4801460,CDM,361,RC,33217,CPT,,,facility,outpatient,,,9198.00000,3292.88000,Quiktrip Corporation,Commercial,,4966.92,,,,,,,2837.28,14854.00,percent of total billed charges,
INS ELCTRD PM/ICD TRANSVENOUS DUAL,4805974,CDM,361,RC,33217,CPT,,,facility,outpatient,,,9198.00000,3292.88000,Banner University Health Plan,University Care Advantage,,8820.71,,,,,,,2837.28,14854.00,fee schedule,
INS ELCTRD PM/ICD TRANSVENOUS DUAL,4805974,CDM,361,RC,33217,CPT,,,facility,outpatient,,,9198.00000,3292.88000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,4139.10,,,,,,,2837.28,14854.00,percent of total billed charges,
INS ELCTRD PM/ICD TRANSVENOUS SGL,4801478,CDM,361,RC,33216,CPT,,,facility,outpatient,,,7978.00000,2856.12000,Aetna,Designated Group,,12626.00,,,,,,,2837.28,14854.00,case rate,
INS ELCTRD PM/ICD TRANSVENOUS SGL,4801478,CDM,361,RC,33216,CPT,,,facility,outpatient,,,7978.00000,2856.12000,Arizona Medical Network,Commercial,,5584.60,,,,,,,2837.28,14854.00,percent of total billed charges,
INS ELCTRD PM/ICD TRANSVENOUS SGL,4805966,CDM,361,RC,33216,CPT,,,facility,outpatient,,,7978.00000,2856.12000,"Health Choice Arizona, Inc.",ACA Health Plan,,13231.07,,,,,,,2837.28,14854.00,fee schedule,
INS ELCTRD PM/ICD TRANSVENOUS SGL,4805966,CDM,361,RC,33216,CPT,,,facility,outpatient,,,7978.00000,2856.12000,Aetna,Joint Venture,,11883.00,,,,,,,2837.28,14854.00,case rate,
INS ELCTRD PM/ICD TRANSVENOUS SGL,4805966,CDM,361,RC,33216,CPT,,,facility,outpatient,,,7978.00000,2856.12000,Carelon,Medicare Advantage,,9261.75,,,,,,,2837.28,14854.00,fee schedule,
INS FILTER VENA CAVA ENDV S&I,3249513,CDM,361,RC,37191,CPT,,,facility,outpatient,,,6893.00000,2467.69000,Aetna,Designated Group,,6347.00,,,,,,,2837.28,9723.85,case rate,
INS FILTER VENA CAVA ENDV S&I,3249513,CDM,361,RC,37191,CPT,,,facility,outpatient,,,6893.00000,2467.69000,Banner University Health Plan,University Family Plan,,3458.52,,,,,,,2837.28,9723.85,case rate,
INS FILTER VENA CAVA ENDV S&I,3249513,CDM,361,RC,37191,CPT,,,facility,outpatient,,,6893.00000,2467.69000,Oscar Health Plan,Commercial,,9506.48,,,,,,,2837.28,9723.85,fee schedule,
INS FILTER VENA CAVA ENDV S&I,3249513,CDM,361,RC,37191,CPT,,,facility,outpatient,,,6893.00000,2467.69000,Plotkin Health,Plotkin Health,,3101.85,,,,,,,2837.28,9723.85,percent of total billed charges,
INS FILTER VENA CAVA ENDV S&I,4814125,CDM,361,RC,37191,CPT,,,facility,outpatient,,,6893.00000,2467.69000,Banner Health,Medicare Advantage,,5761.50,,,,,,,2837.28,9723.85,fee schedule,
INS FILTER VENA CAVA ENDV S&I,4814125,CDM,361,RC,37191,CPT,,,facility,outpatient,,,6893.00000,2467.69000,Banner Health,Medicare Advantage,,5761.50,,,,,,,2837.28,9723.85,fee schedule,
INS FILTER VENA CAVA ENDV S&I,4814125,CDM,361,RC,37191,CPT,,,facility,outpatient,,,6893.00000,2467.69000,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,,7292.89,,,,,,,2837.28,9723.85,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
INS FILTER VENA CAVA ENDV S&I,4814125,CDM,361,RC,37191,CPT,,,facility,outpatient,,,6893.00000,2467.69000,United Healthcare,Individual Exchange,,8066.10,,,,,,,2837.28,9723.85,fee schedule,
INS GEN ICD ONLY W LD EXIST MULTI,4814380,CDM,361,RC,33231,CPT,,,facility,outpatient,,,16977.00000,6077.77000,"Cigna Healthcare of Arizona, Inc.",Commercial,,4464.00,,,,,,,2837.28,61894.00,case rate,Multiple procedure logic: 100/50/25
INS GEN ICD ONLY W LD EXIST MULTI,4814380,CDM,361,RC,33231,CPT,,,facility,outpatient,,,16977.00000,6077.77000,Aetna,Broad Network,,21660.00,,,,,,,2837.28,61894.00,case rate,
INS GEN ICD ONLY W LD EXIST MULTI,4814380,CDM,361,RC,33231,CPT,,,facility,outpatient,,,16977.00000,6077.77000,Mercy Care,Medicaid,,23808.20,,,,,,,2837.28,61894.00,case rate,
INS GEN ICD ONLY W LD EXIST SGL,4813952,CDM,361,RC,33240,CPT,,,facility,inpatient,,,15600.00000,5584.80000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,7020.00,,,,,,,7020.00,11700.00,percent of total billed charges,
INS GEN ICD ONLY W LD EXIST SGL,4813952,CDM,361,RC,33240,CPT,,,facility,outpatient,,,15600.00000,5584.80000,"Health Choice Arizona, Inc.",Medicaid,,16704.12,,,,,,,2837.28,61894.00,fee schedule,
INS GEN ICD ONLY W LD EXIST SGL,4813952,CDM,361,RC,33240,CPT,,,facility,outpatient,,,15600.00000,5584.80000,Arizona Physicians IPA,Medicare Advantage,,23923.60,,,,,,,2837.28,61894.00,fee schedule,
INS GEN ICD ONLY W LD EXIST SGL,4813952,CDM,361,RC,33240,CPT,,,facility,outpatient,,,15600.00000,5584.80000,Blue Cross Blue Shield of Arizona,BCBSAZ Workers Comp,,9723.85,,,,,,,2837.28,61894.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
INS GEN PPM ONLY W LD EXIST DUAL,4813788,CDM,361,RC,33213,CPT,,,facility,inpatient,,,11275.00000,4036.45000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,5073.75,,,,,,,5073.75,8456.25,percent of total billed charges,
INS GEN PPM ONLY W LD EXIST MULTI,4813846,CDM,361,RC,33221,CPT,,,facility,outpatient,,,16077.00000,5755.57000,"Cigna Healthcare of Arizona, Inc.",Commercial,,4464.00,,,,,,,1455.44,51815.00,case rate,Multiple procedure logic: 100/50/25
INS GEN PPM ONLY W LD EXIST MULTI,4813846,CDM,361,RC,33221,CPT,,,facility,outpatient,,,16077.00000,5755.57000,Banner University Health Plan,AZ Medicaid - AHCCCS,,13493.16,,,,,,,1455.44,51815.00,case rate,
INS GEN PPM ONLY W LD EXIST MULTI,4813846,CDM,361,RC,33221,CPT,,,facility,outpatient,,,16077.00000,5755.57000,Humana,Medicare Advantage,,20936.21,,,,,,,1455.44,51815.00,fee schedule,
